id,parent_asin,author,title,category,publication_year,rating,helpful_vote,text
B0727TN8H6010,B0727TN8H6,Steve Brusatte,The Rise and Fall of the Dinosaurs: A New History of a Lost World,sm,2018,5.0,147,"I browsed the reviews before I bought the book and was very amused by the one-star reviewers who groused about Dr. Brusatte's writing style. Apparently they think dinosaur books should be fusty tomes written in the finest Dense Academic by human dinosaurs and they were irked not to find that stuff in this book.  Well, no. And that's the best thing about The Rise and Fall of the Dinosaurs.  Dr. Brusatte clearly loves what he's doing. And he has fun doing it. And he wants to share the joy with the world. He has a bright, engaging style and he can tell a story like nobody's business. Just wait till you get to the tale of the breakup of Pangaea, or the day the asteroid hit. You will not find a better, more vivid account anywhere.  I originally checked the book out of the library but it was soon clear I'd have to buy my own copy. If you care anything at all about dinosaurs, get this book. Encourage Steve Brusatte to write more!"
B0727TN8H6011,B0727TN8H6,Steve Brusatte,The Rise and Fall of the Dinosaurs: A New History of a Lost World,sm,2018,3.0,100,"I am a geologist, although not a paleontologist, so my perspective is admittedly biased. I can say with humble confidence that I know more than the average person about fossils, dinosaurs, geological processes, Earth history, etc., but certainly less than the author, particularly regarding dinosaur ecology and paleontology. This said, the book has good points and some less than good, and 3.5 stars seems about right for me.  If you are interested in learning a bit about dinosaurs and their evolution, then this is a decent book that includes some relatively recent discoveries or consensus. I enjoyed it, and I learned a few things that I admittedly did not know. However, I came away with the same impression as some other reviewers; the author has a robust ego, especially for somebody who is younger than the length of just my professional career as a geologist. One would think that the author has been rubbing elbows with every important vertebrate paleontologist since Darwin himself discovered fossils in South America while taking land excursions from the Beagle. Somehow, I just don’t think a paleontolgist barely 10 years into his career has seen and done so many marvelous and revolutionary things, but perhaps I am just a jaded old fart. In any case, less thumbnail shout-outs to his early-career compadres and a bit more meat on those (dinosaur) bones would have made this a better read."
B0727TN8H6012,B0727TN8H6,Steve Brusatte,The Rise and Fall of the Dinosaurs: A New History of a Lost World,sm,2018,1.0,46,"Very disappointing. Though the author is an expert, the biology in the book is at an eighth-grade level.. There is a galling amount of padding, such as biographies of paleontologists the author knows, and descriptions of  towns, of landscapes, or the difficulty in catching the right train. in China.  I have the audible verrsion and kept puttin the speed of reading to two-and-a-half to get through these passages, thinking, 'Please, please tell me something about dinosaurs that a moderately scientifically informed reader would not already know. There was some, but not much, of this. Good book for a smart kid in early high school."
B0727TN8H6013,B0727TN8H6,Steve Brusatte,The Rise and Fall of the Dinosaurs: A New History of a Lost World,sm,2018,2.0,37,"This book is simultaneously a short-read (main text 350pgs) and a slog to read. As others have noted (see the 1 star reviews), the author's writing style distracts from the main narrative of the text (dinosaur evolution). Much of this text reads like a work of fiction written by high school student. To wit, 'The Permian Period-when that weird and wonderful cast of creatures was frolicking alongside the Polish lakes.' Frolicking? Really?  Almost every time a new person is mentioned, the author will divaricate from the main topic and then expose the reader to perfervid prose and excessive adjectives. For example, 'The man holding it was young, with a close-cropped military hairstyle, his hairline just starting to recede like mine. His eyes were dark, and he was squinting. A thin veneer of stubble covered his face, and he seemed to be a little darker than most of the Poles I knew. Tanned, almost.' Who cares!? This person is nobody to me. But this goes on for pages. Plus he goes into the educational backgrounds, childhood experiences, etc of these people. I approached the beginning of each chapter and chapter subsection with dread, knowing the page after page was marinated with superfluous details.  As for the main topic: dinosaurs and their evolution, this book is sorely lacking. I wish he wrote about dinosaurs at the level of detail that he writes about his colleagues. He really does not write about evolution in a way that informs the reader how the process works or why certain adaptations were, well adaptive. These are examples of the poor level of detail that he goes into,  nothe second, the avemetatarsalians, developed into pterosaurs,' '...looking at traces left behind by the type of animal that evolved into dinosaurs,' '...at some point, one of these primitive dinosauromorphs evolved into true dinosaurs.'  That's it. Then he moves on. Here's his discussion of bird evolution 'They lost their tails and teeth, ditched one of their ovaries, and hollowed out their bones even more to lessen their weight. Their breathing became more efficient, their growth faster, and their metabolism more supercharged, so that they became fully warm-blooded, able to maintain a constant high internal body temperature. With each evolutionary enhancement, they became even better fliers, some able to stay airborne for hours on end, others able to sail through the oxygen-starved upper reaches of the troposphere, over the rising Himalayas.' While before he went into some detail in feather evolution (his facts are bit sketchy though) the rest of these features are just mentioned in passing. As to why any of these traits adaptive, it's on you to do your own research.  'Walking upright, it seems, was one of the way in which animals recovered-and indeed, improved-after the planet was shocked by the volcanic eruptions.' And that's it. He does not say why that's the case, it just is. Other times he will say 'we do not know why...' Not knowing for certain and not having a theory are two different things. This is a really frustrating book to read. As someone whose childhood love of dinosaurs has been retained into adulthood, and now I am sharing that passion with my children, I eagerly bought this book hoping for the most updated information on the evolution of dinosaurs. What I get instead was detailed biographies of paleontologists, a cursory overview of dinosaurs through the Triassic, Jurassic, and Cretaceous, and a feeling of disappoint that will gave me the fantods.  The only chapter that I really enjoyed was the T. Rex chapter. I have always wondered, why is T. Rex so special? To my thinking, there were other predators that were larger than T. Rex, so it was not size. There were other predators that were more agile, so it was not speed. There were other predators that dominated the food chain longer, so it was not staying power. My conclusion was, since T. Rex was one of the first super predators discovered and was a cultural phenomenon in the early 20th century, that was why it had staying power. However, this chapter in the book does answer the question, Why T. Rex? That chapter also shows, however, that T. Rex is probably the best studied of all the dinosaurs, so if that amount of time and effort went into another predator, maybe T. Rex would lose some of its luster. Anyway, If only you could purchase that chapter alone, it's worth the read.  Overall, I do not recommend this book.  To get an understanding of how great this book could have been, I recommend Neil Shubin's 'Your Inner Fish.' It's not about dinosaurs, but rather the evolutionary links that connect us to other animals. Neil knows how to write to a lay audience in a way that is informative and interesting."
B0727TN8H6014,B0727TN8H6,Steve Brusatte,The Rise and Fall of the Dinosaurs: A New History of a Lost World,sm,2018,5.0,23,"This is a review from a reader who has purchased the hardcover, Kindle, and Audible editions of the book: the former for my bookshelf, the second for convenient reading, and the third just to complete the set since I had an Audible credit to burn at the time. Initially I bought Dr. Brusatte's book on a whim: it had occurred to me that paleontology had advanced by leaps and bounds since the nineties when I was actively learning about these prehistoric creatures. I thought, 'Gee, it would be interesting to see how far it's all come since I was checking out books at the school library and playing '3D Dinosaur Adventure' on that crusty old PC.' It certainly does a good job of catching one up on modern views of dinosaurs among paleontologists.  First off, if you are the type of person who expects books on scientific subjects to be a drag to read, have no fear in this case. Steve Brusatte is clearly writing with a mentality very close to what an effective teacher needs to keep students engaged, which is to say: be entertaining, present the information in a lively way, give the audience's enthusiasm room to effectively drive their learning forward. This is not a dry fact-dump, but a 'story,' for want of a better description. It tells the history of the dinosaurs with vigor, often stepping into side-stories about the paleontologists who work to uncover and deduce the details of that story. Thus you learn not only about the dinosaurs, but about the many and varied intrepid men and women who work to find out all they can about them and other aspects of natural history.  The book begins with a colorful description of what the world must have been like in the Permian period, transitioning into the Triassic, where dinosaurs were (contrary to previous belief) bit players, and this is a strong way to open, because it ties in with those side-stories about paleontology, and here we begin to see some discussion on the changing views about dinosaurs and how paleontologists can indeed be mistaken about their findings. It continues on from there. Readers of this book who are willing to and interested in learning about these topics will find this to be an excellent place to begin learning about dinosaurs and paleontology, and those already in the know will likely enjoy it as a refresher course.  The hardcover edition is well-formatted, with a fitting selection of visually-pleasing yet easy-to-read text fonts and a fairly generous use of illustrations, photographs, and occasional diagrams where needed. The Kindle version is a little dodgier by the nature of what it is. The first paragraph or so of any given chapter sub-section has an oddly larger text font than the following paragraphs, but the only difficulty arises from those illustrations and such, which tend to be shrunk-down to fit whatever your display screen is... as is the case with most e-books, these elements do not make the smoothest transition, but this is a perfectly serviceable way to enjoy the book if you are reading it, say, on public transit, or on break at work.  The audiobook's reading works quite well, though I note that at the time of this review Audible narration does not work for the Prologue chapter, even though it is indeed in the audiobook. I assume there was an oversight in programming, and have reported this to customer service. It may even have been fixed by the time you read this review. Other than that and the obvious lack of photographs and images in the audiobook, the manner in which this reading is presented may strike listeners as a tiny bit too geared toward younger audiences, with some exaggeration in voice tone when the reader wants things to sound exciting or intriguing that was quite a long way from how my mental voice vocalized the text while reading it independent of audio accompaniment. That said, it's a pleasant listen. I just hope they fix that Audible narration problem with the prologue.  All in all, I highly recommend this book for those interested in the subject, especially in hardcover, as it's a very nice addition to anyone's bookshelf. Readers be forewarned, however. Paleontology is an advancing science at all times, and the information in this book is likely to go out of date in a surprisingly short span of time, as the educational material from the nineties and 2000's did. If you find it interesting enough to pursue, however, you might consider staying up-to-date on paleontological finds and theories on your own time by following the works of both Dr. Brusatte and others in his field. It certainly can not hurt to know more about the planet you were born on, yes?"
B07R8P96KW015,B07R8P96KW,Carl Safina,"Becoming Wild: How Animal Cultures Raise Families, Create Beauty, and Achieve Peace",sm,2020,5.0,11,Safina explains that many animals pass on life skills and this constitutes culture. Most animals could not survive and certainly could not thrive using only the behaviors that are driven by instinct. Many of his insights are applicable to humans too.  This is an important book.  Very highly recommended.
B07R8P96KW016,B07R8P96KW,Carl Safina,"Becoming Wild: How Animal Cultures Raise Families, Create Beauty, and Achieve Peace",sm,2020,5.0,7,"It's not just our species that has cultures. Some other species have cultures of their own. The author takes to the field and seas with researchers to learn about sperms whales, macaws, and chimpanzees. He also delves into the cultures of bonobos and killer whales, among other animals. Very edifying and easy to read. I like his writing style. You will learn a lot about the clans and families of sperm whales and about chimp social structures and macaw interactions. After reading this edifying work, you will ponder the cultures of other animal groups not mentioned in the book."
B07R8P96KW017,B07R8P96KW,Carl Safina,"Becoming Wild: How Animal Cultures Raise Families, Create Beauty, and Achieve Peace",sm,2020,5.0,7,"Like Safina's other fascinating and highly readable books, Becoming Wild takes the reader deep into the shared lives within three animal societies: sperm whales, macaws and chimpanzees. You will be awestruck by the sperm whales' almost mystical abilities and the lovely, connected, compassionate lives they live. You will be surprised, amused and enlightened by the complex and successful nature of macaw culture and society. And you will perhaps be frustrated and irked by the often pettily competitive and highly political lives lived by chimpanzees. In his signature style, Safina brings you along into the field with devoted behavioral researchers. You will feel like you are there, and you will be better for the journey. Highly recommended!"
B07R8P96KW018,B07R8P96KW,Carl Safina,"Becoming Wild: How Animal Cultures Raise Families, Create Beauty, and Achieve Peace",sm,2020,3.0,6,"I wanted to read this book to learn more about animal instincts. I was rather disappointed due to the fact the author added (in my opinion) too many personal stories about the researchers and himself. Also, I felt there was a lot of conjecture instead of facts.  I felt the author reiterated a lot of the actual facts in such a way that the book could have been shorter than it was if he had not repeated so much. Also, the book read much more like an appeal to humans that animals are more like us than we think/ to save the animals than just facts about the animals. I won this book through a goodreads.com giveaway."
B07S63ZS4H019,B07S63ZS4H,Pottermore Publishing,A Journey Through Charms and Defence Against the Dark Arts (Harry Potter: A Journey Through… Book 1),sm,2019,1.0,41,"A few months ago there was a ton of buzz about ""JK Rowling to release new Harry Potter books this summer"". After some research, I learned that JK Rowling was not writing them, but I still expected them to be in the wizarding world and pre-ordered all of four.  These have nothing to do with Harry Potter. They quote the books and then talk about actual history in a vaguely tangential way. I skimmed through the first half hoping that there would be a story at some point,and remained disappointed.  I was pleased to find I could cancel the pre-orders of the other two books. Do not waste your time or money."
B07S63ZS4H020,B07S63ZS4H,Pottermore Publishing,A Journey Through Charms and Defence Against the Dark Arts (Harry Potter: A Journey Through… Book 1),sm,2019,1.0,27,This was misleading and not written by JK Rowling but by the publisher and it's more of a history lesson book about the history of magic however it does not really teach you anything it's pretty terrible all
B07S63ZS4H021,B07S63ZS4H,Pottermore Publishing,A Journey Through Charms and Defence Against the Dark Arts (Harry Potter: A Journey Through… Book 1),sm,2019,5.0,7,This book has a lot of interesting facts that connect real life ideas to the Harry Potter Series. I also love that it talks about J.K.Rowlings thoughts and ideas while she was writing the series!
B07S63ZS4H022,B07S63ZS4H,Pottermore Publishing,A Journey Through Charms and Defence Against the Dark Arts (Harry Potter: A Journey Through… Book 1),sm,2019,5.0,6,"Somehow this got delivered to my Kindle last night, so I got an early read. It is loaded with intriguing nuggets of fascinating history and trivia that, despite its few pages, will keep readers turning pages, again and again.  History buffs will find the bits about Egypt during the early years when phaoronic history overlapped with Christianity; devotees of J. K. Rowling will find the early sketches and brainstorming mind-boggling.  BOTTOM LINE  Five stars out of five."
B07S63ZS4H023,B07S63ZS4H,Pottermore Publishing,A Journey Through Charms and Defence Against the Dark Arts (Harry Potter: A Journey Through… Book 1),sm,2019,2.0,6,"The world of Harry Potter has and forever will be mysterious and special for a lot of people. But this book unfortunately ruins some of that magic with its poorly stitched narrative and haphazard description of where Rowling got her characters. Kids stay away from the book. Adults, this is strictly a companion book ( more like a dictionary) to your child’s curiosities."
B07THBZ4VD024,B07THBZ4VD,Lulu Miller,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",sm,2020,3.0,59,"I was pulled in by the story of David Starr Jordan--I thought that was written very well--but about midway through the book I started to have issues with the details on the history of the science (I teach many of the topics), and then there was a good deal of author-interpretation of Darwin's intended meaning of life.  The ""author's story"" and review of psychology is getting to be very popular in literature, and I have read enough of it that I knew precisely how this Millennial drama/love story would end."
B07THBZ4VD025,B07THBZ4VD,Lulu Miller,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",sm,2020,5.0,10,"I love non-fiction books with a science-y spin. Lulu Miller's debut brings a thought-bending twist to an old genre - biography. In telling the story of naturalist David Starr Jordan, she traces along the threads of struggle in her own life and leaves the reader with astonishing new realities. A lovely surprise, this book is a must read."
B07THBZ4VD026,B07THBZ4VD,Lulu Miller,"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",sm,2020,5.0,8,"Miller has written a most wonderful and extraordinary book, which will leave you speechless, but also tingling inside with a fresh perspective on life and love and being human. This is simply the most interesting book I have ever read."
B0818ZZNLR027,B0818ZZNLR,James Nestor,Breath: The New Science of a Lost Art,sm,2020,5.0,406,"I am in my mid-60s. As a former competitive athlete I was seeing a lot of the normal, as in average person nowadays, degradations of my quality of life. Additionally, like many people, I’ve been spending a lot more time in front of a screen. By one or 2 o’clock in the afternoon, naptime. In the first week since buying the book I haven’t gotten sleepy mid afternoon. The book is well researched, a great read story wise, and contains valuable exercises. I can’t recommend this book enough."
B0818ZZNLR028,B0818ZZNLR,James Nestor,Breath: The New Science of a Lost Art,sm,2020,5.0,112,"I read this book straight through in one sitting! It's a fascinating page-turner -- well written with a ton of scientific backing. I learned so much about how I breathe, and how to improve my breathing from reading this. I am not sure how the author managed to assemble all the facts, anecdotes and research into one book but he must have spent years on the road to do it! Reading this book can literally change your life! Highly recommended."
B0818ZZNLR029,B0818ZZNLR,James Nestor,Breath: The New Science of a Lost Art,sm,2020,1.0,60,"As a long distance runner with over 93,000 miles out on the roads I couldn’t get past the sample of the book. Using the formula of 180 minus your age works for about 1/3 of people. At 76 my Max HR is around 180!  To present this formula in 2020 is laughable without further explanation shows pretty poor research. Check out Oxygen Advantage by PatrickMcKeon."
B0818ZZNLR030,B0818ZZNLR,James Nestor,Breath: The New Science of a Lost Art,sm,2020,1.0,49,"First, this is a VERY light book.  The main text ends at the 51% mark, and the rest is a bag of resources for those wanting to learn more about a particular breathing technique.  There are almost no data in the book, except as relates to the experiments the author performs on himself.  There are some interesting factoids sprinkled about, but I would cross reference every one of them before repeating them, as there are also some glaring scientific errors or at least misleading oversimplifications.  The author flies all over the world, paying for treatments, meeting with breathing mentors, meeting with other people who fly all over the world to explore or propound breathing techniques, and chronicles this jet-setting self-absorption in this quick read."
B0818ZZNLR031,B0818ZZNLR,James Nestor,Breath: The New Science of a Lost Art,sm,2020,1.0,33,"Let's save some time and just tell you that you are not breathing correctly. You should be breathing through your nose. But not like that. Like this. But wait, no, not like this. Like that.  Evidently breathing through your nose the right way (which he never really feels satisfied HE understands) will fix your sciatica, financial problems, and even make a Fiat run better. Evidently anecdotal research from the 1700's is much better than modern applications of the scientific method to large scale health studies. The author's experience ""testing"" a week breathing through his mouth then his nose reads like a an attempt for an Ig Nobel Prize. It's frankly astounding that the author's claimed pedigree has not provided an iota of scientific skepticism and common sense.  Or maybe he's just low on oxygen..."
B087WXGTWF032,B087WXGTWF,Marcus Chown,Infinity in the Palm of Your Hand: Fifty Wonders That Reveal an Extraordinary Universe,sm,2019,4.0,28,I enjoyed the book from the very first page because the author has such a clever writing style. I especially liked the material being presented in short burst of 4 or 5 pages. It takes a great deal of skill and plain hard work for one who has such a vast knowledge of the scientific world  make this ideas simple for us.  This work could easily have earned five stars from me except the author could not control his hatred for former president Trump. On at least two occasions he made demeaning remarks about President Trump that had absolutely nothing at all to do with science. I really do not think introducing hatred in a book of science does any positive except make the author feel good. It detracts from some excellent writing.
B08YXNC9BT033,B08YXNC9BT,Carl J. Pratt,Quantum Physics for Beginners: From Wave Theory to Quantum Computing. Understanding How Everything Works by a Simplified Explanation of Quantum Physics and Mechanics Principles,sm,2021,4.0,45,"How about this book because I wanted to learn more about quantum physics . It can be overwhelming at times trying to figure it out so this seemed to be a great way to start to learn. With this book the author Carl J Pratt help me understand what quantum physics is, the history and experiments and achievements in quantum mechanics. He discussed wave particle duality dilemma, how particles can be multiple places at once, quantum entanglement, quantum Fields theory, quantum gravity and introduction to string theory. I enjoyed that he helped me peel the way layers of mystery to reveal what's behind most modern technological innovations without getting overwhelmed with complex math. He even showed me real world applications like quantum computing, quantum key distribution and ultra precise clocks. This is a great beginner's guide to start understanding quantum physics. The author help me see that quantum physics can be easy accessible and interesting."
B08YXNC9BT034,B08YXNC9BT,Carl J. Pratt,Quantum Physics for Beginners: From Wave Theory to Quantum Computing. Understanding How Everything Works by a Simplified Explanation of Quantum Physics and Mechanics Principles,sm,2021,4.0,16,"I have more than a passing fancy in Physics in general, and have become intrigued by Quantum Physics.  This book is good at introducing the variety of sub-fields and theories within Quantum Physics, but is still a bit advanced for a beginner to grasp.  Maybe I need a Quantum Physics for Kindergartners book for an introduction instead."
B08YXNC9BT035,B08YXNC9BT,Carl J. Pratt,Quantum Physics for Beginners: From Wave Theory to Quantum Computing. Understanding How Everything Works by a Simplified Explanation of Quantum Physics and Mechanics Principles,sm,2021,3.0,11,"I liked this book's attempt to bring some sense to a very confusing field. However, there still were areas not clearly explained. The difference between classical and quantum physics and the duality of wave and particle was clear but the jumps in explaining Quantum Mechanics was confusing to me."
B08YXNC9BT036,B08YXNC9BT,Carl J. Pratt,Quantum Physics for Beginners: From Wave Theory to Quantum Computing. Understanding How Everything Works by a Simplified Explanation of Quantum Physics and Mechanics Principles,sm,2021,4.0,6,"Carl Pratt, clearly loves astronomy and physics and tries to relate it to the lay person.  more than basic premise but does attempt to establish a foundation of knowledge by the end.  good read, but difficult material for sure"
B08YXNC9BT037,B08YXNC9BT,Carl J. Pratt,Quantum Physics for Beginners: From Wave Theory to Quantum Computing. Understanding How Everything Works by a Simplified Explanation of Quantum Physics and Mechanics Principles,sm,2021,5.0,5,"This describes the basic reality of subatomic physics better than any “beginner “ book I have yet read. I now have a much better feel for the wave function of all matter, and a conceptual feel for how it all works."
B09FK3FB79038,B09FK3FB79,Steve Brusatte,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",sm,2022,4.0,16,"This text integrates a very large subject, the entirety of mammalian evolution, in a single volume, using up to date research and sources. In composing a grand narrative it does an excellent job, but the scope of the topic clearly escapes the grasp of this book to handle on anything but a fairly superficial level. In particular, this book is almost entirely text, with only occasional pictures of fossil skeletons or artistic renditions of extinct animals. Critically there are no cladograms to outline relationships between the various groups and there are hardly any diagrams of the critical developments in dentition that characterize the mechanistic understanding of mammal evolution. The result is that many of the organisms and groups mentioned are no more than names.  Overall this book tells a very intriguing story regarding the evolution of mammals, but fails to teach the reader beyond a rather basic outline."
B09FK3FB79039,B09FK3FB79,Steve Brusatte,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",sm,2022,5.0,14,"Thank you to NetGalley and Mariner Books for this ARC.  Wow! Steve Brusatte's ""The Rise and Reign of the Mammals"" is a wonderfully worthy sequel to his ""Rise and Fall of the Dinosaurs"". My knowledge of the evolution of mammals has always been pretty sparse; I'd always imagined early mammals as boring little rat-critters running around trying not to be stomped by giant reptiles. (Okay, I did know that they were not actually rodents, but that's all I could picture.) This book showed me how incredibly wrong I was.  This book covers the mammalian journey from the evolution of the earliest stem mammals to the Ice Age megafauna, ending with our own hominid development. Other than the fascinating stories about the discovery of the fossils Brusatte describes, I particularly enjoyed the Ernest Thompson Seton-esque tidbits about the hypothetical lives of these animals.  I'd prefer not to give too much more away, so paleontology fans: check it out yourselves!  Easily 5 stars. Wonderfully done!"
B09FK3FB79040,B09FK3FB79,Steve Brusatte,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",sm,2022,4.0,5,I am a professional biologist myself.  Most of the content of this book focuses on new discoveries since I finished school 40 years ago.  Not only paleontology but also paleoclimatology have advanced greatly since then.  I can not wait to see how much we learn in the next 40 years!
